Video ID,Title,View Count,Like Count,Comment Count
MEvTjiPu58s,"Martian Mysteries: The After Files! Q&A, Hang Out, Chop it up",308150,10354,562
q9Nuy7mFIsE,Alien Artifacts on Mars: What NASA doesn't want you to know,5302205,248640,16351
Wr5iA4k1X8w,"Mothman AFTER FILES! Q&A, AMA, Hangout",176291,4836,278
jCUfqwy7bSs,The Mothman Returns: Point Pleasant Legend to Chicago Terror,2197337,108305,8444
OxY8VsfSNPA,"Exorcism After Files! Q&A, AMA, Hanging Out",154330,5003,353
xC9SxxjEviE,Terrifying Truth: Possessions and Exorcisms are Real,2330400,113251,9468
cVoZlYAsBWo,"America's Secret Space Program: AFTER FILES! Q&A, AMA, Shoot the Breeze",269380,8404,578
sfRcl5rmydI,America's Secret Space Program and the Alien Connection: Solar Warden,2976955,173491,9070
-9pCmXysOd0,"Denver Airport AFTER FILES! Q&A, AMA, Shoot the S**T",400647,13414,1234
NQflFk5WAO0,What Are They Hiding Underneath? The Truth about the Denver International Airport Conspiracy,2922392,191840,15585
lH_fyyAImdY,"Gateway Process: After Files! Q&A, AMA, Chop it Up, Chinwag",253018,8453,712
Wly9_qN-jZ0,The Gateway Process: the CIA's Classified Space & Time Travel System That You Can Learn (Really),3611473,195438,18275
yhjXD8wJpkk,"After Files! Reverse Speech. Q&A, Hang Out, AMA, Shoot the breeze",195237,7933,411
wP656kgwTgQ,Your BACKWARD voice reveals all your secrets (And the CIA knows it),3622152,183654,18282
baND9BoUHBk,"Emerald Tablet AFTER FILES: Q&A, AMA, Shoot the Breeze",233735,8283,476
_0n1Q0CV-3A,"Atlantis, Thoth, the Emerald Tablet & the Secret to Immortality",5130042,201140,10712
_1Q3VHCNfyg,"Tesla Tunguska After Files: Chinwag, AMA, Q&A",212575,6945,525
Wnx-uM5Rn60,The Most Destructive Weapon Tesla Ever Made,2492733,114058,6682
eULXLrKzPzE,"Project Blue Beam: The After Files | Q & A, AMA, Shoot the Breeze, Chop it Up",314269,10360,675
YaaGvq2mcR0,Are all these UFOs an Alien Invasion or has Project Blue Beam finally begun?,2949652,182776,17650
RkSOvEw2unE,exorcisms,489092,22295,1216
_CEyRrYzPVk,The Time Traveler who Vanished | The Sergei Ponomarenko Story,2199376,84908,4512
IHG28kSNmXI,"Sergei Ponomarenko After Files: Shoot the breeze, AMA, Q&A, Pre-Applebees Party",182442,5432,236
